base_score,[482.00046623]
age,Score
"(-inf, 36.0]",-4.254205894445263
"(36.0, 54.0]",-2.2692711254155187
"(54.0, 61.0]",2.0090773321959974
"(61.0, 74.0]",8.189509433237673
"(74.0, inf]",14.047816254484983
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0991]",47.980572997646426
"(0.0991, 0.298]",14.539358810879909
"(0.298, 0.465]",-2.798317956480121
"(0.465, 0.983]",-23.359948563474692
"(0.983, 1.0]",-10.263868135800573
"(1.0, inf]",-44.42731897428158
DebtRatio,Score
"(-inf, 0.0173]",34.97851480947653
"(0.0173, 0.321]",1.7232779429489455
"(0.321, 1.467]",-7.319838787979971
"(1.467, inf]",4.120881421932403
MonthlyIncome,Score
"(-inf, 0.11]",20.999738172413597
"(0.11, 5592.0]",-3.551096992262096
"(5592.0, inf]",3.3959372002196604
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-6.2072391406330665
"(1.0, 3.0]",-2.404785767286194
"(3.0, 5.0]",-0.44237990754205425
"(5.0, 17.0]",0.9135025723978112
"(17.0, inf]",3.433017819827493
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.557488294392353
"(0.0, 1.0]",-13.727388975843354
"(1.0, 2.0]",-21.721908135431516
"(2.0, inf]",-24.2250038917011
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.8083762921463196
"(0.0, 1.0]",-28.360036510791932
"(1.0, 2.0]",-36.87350155671955
"(2.0, inf]",-39.173280969634966
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.764713166753026
"(0.0, 1.0]",5.358957823575086
"(1.0, 2.0]",16.860130899188512
"(2.0, 4.0]",10.563095462147452
"(4.0, inf]",-8.149276603065193
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",1.006638421929608
"(0.0, 1.0]",-11.197256525308571
"(1.0, 2.0]",-14.293983522595132
"(2.0, inf]",-14.536357430232428
NumberOfDependents,Score
"(-inf, 0.0]",15.725924246912054
"(0.0, 1.0]",-12.255368043148186
"(1.0, 2.0]",-12.673868525767551
"(2.0, inf]",-11.363608471955034
